virus,donor1_day0,donor1_day1,donor1_day2,donor1_day3,donor1_day4,donor1_day5,donor1_day8,donor1_day14,donor2_day0,donor2_day1,donor2_day2,donor2_day3,donor2_day4,donor2_day5,donor2_day8,donor2_day14,donor3_day0,donor3_day1,donor3_day2,donor3_day3,donor3_day4,donor3_day5,donor3_day8,donor3_day14
NC_007605.1_Human_herpesvirus_4_complete_wild_type_genome,1610,164297,108411,64901,42768,45780,125481,40677,1173,113026,73173,50012,51308,40799,38825,45679,817,119819,84135,45437,41947,68491,35597,15630
"NC_009334.1_Human_herpesvirus_4,_complete_genome",470,33115,30069,20320,13153,17523,46955,14907,NA,26900,18655,13532,17033,13385,11931,14387,NA,29925,24345,13728,10992,24712,11224,5078
"NC_001716.2_Human_herpesvirus_7,_complete_genome",6577,5882,5705,2276,2406,3098,27642,4064,2330,10864,3203,3116,2682,2991,5008,6128,7513,8360,6466,4148,4463,5242,5886,3758
NC_022518.1_Human_endogenous_retrovirus_K113_complete_genome,3685,1996,2172,2100,1863,2043,13026,2296,2220,2195,1349,1739,2061,2174,2394,3421,2490,1923,2498,2251,1746,2644,2532,1415
"gi|12084981|lcl|HPV71REF.1|_Human_papillomavirus_71_(HPV71),_complete_genome",1632,690,NA,NA,NA,NA,2238,NA,742,556,492,NA,NA,NA,NA,480,816,NA,578,NA,NA,450,NA,NA
"NC_003977.1_Hepatitis_B_virus,_complete_genome",550,482,NA,NA,NA,NA,524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NC_001669.1_Simian_virus_40,_complete_genome",NA,NA,588,616,1053,751,663,NA,NA,NA,NA,512,678,449,NA,NA,NA,NA,404,1030,453,493,NA,NA
