Percentile	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
donor2_day2	1331.0	1806	1135	1186	924	1190	1399	1392	1262	1159	811	612.0	498	531	578	600	503	533	573	532	652	876	2031	1859	1486	608	537	436	465	585	772	983	2124	1819	1922	1244	2013	1826	1669	1594.0	688.0	669.0	722.0	879.0	1030.0	1280.0	2075.0	1866.0	1805.0	1828.0	1664.0	1982.0	2085.0	2142.0	2835.0	2798.0	2850.0	3555.0	3525.0	3165.0	1105.0	1053.0	1123.0	1243.0	1375.0	1482.0	1362.0	1572.0	1753.0	2244.0	2498.0	2798.0	2732.0	3190.0	3294.0	3531.0	3500.0	3564.0	4258.0	3947.0	5358.0	5028.0	4973.0	4853.0	4633.0	5010.0	4556.0	4929.0	5276.0	4888.0	5222.0	5219.0	4851.0	4503.0	4142.0	3789.0	3415.0	2582.0	1857.0	1203.0
donor2_day3	1272.0	1737	962	1021	726	1108	1210	1219	1053	888	497	399	349	313	334	369	352	352	399	396	499	570	1234	1098	1013	451	392	283	305	331	483	577	1282	1115	1229	743	1347	1162.0	1159	1077.0	560.0	531.0	560.0	623.0	697.0	921.0	1500.0	1262.0	1275.0	1320.0	1379.0	1500.0	1655.0	1759.0	2129	2063.0	2155.0	2432.0	2365.0	2137.0	1090.0	991.0	985.0	978.0	1001.0	1179.0	1142.0	1291.0	1430.0	1617.0	1694.0	1828.0	1868.0	1938.0	2026.0	2215.0	2393.0	2406.0	2875.0	2496.0	3588.0	3381.0	3453.0	3498.0	3384.0	3618.0	3083.0	3282.0	3526.0	3417.0	3388.0	3374.0	3219.0	3192.0	2904.0	2714.0	2507.0	1945.0	1333.0	896.0
donor2_day4	1314.0	1910	1116	1131	804	936	1055	1059	946	845	608	499	455	417	450	464	384	401	392	411	486	571	1149	1157	966	453	389	304	305	330	409	525	1172	1139	1175	716	1247	1147.0	1041.0	1004.0	460.0	442.0	498.0	571.0	631.0	799.0	1369.0	1353.0	1267.0	1215.0	1234.0	1407.0	1499.0	1553.0	1993.0	1959.0	2114.0	2403.0	2332.0	2048.0	903.0	865.0	868.0	903.0	1029.0	1053.0	1059.0	1192.0	1303.0	1531.0	1583.0	1686.0	1632.0	1844.0	1882.0	2027.0	2102.0	2045.0	2573.0	2514.0	3968.0	3861.0	3797.0	3787.0	3701.0	3957.0	3172.0	3479.0	3868.0	3767.0	3594.0	3633.0	3401.0	3312.0	2847.0	2703.0	2340.0	1804.0	1288.0	945.0
donor2_day5	1399.0	1931	1153	1149	803	909	942	951	769	646	534	413	395	370	387	429	366	376	412	382	425	506	881	835	666	384	375	311	347	332	353	426	903	806	851.0	586.0	937.0	905	834	759.0	420.0	433.0	443.0	466.0	531.0	684.0	1031.0	935.0	909.0	932.0	933.0	1096.0	1268.0	1381	1594.0	1545.0	1641.0	1893.0	1886.0	1670.0	921.0	825.0	801.0	821.0	852.0	987.0	935.0	1012.0	1010.0	1165.0	1282.0	1359.0	1410.0	1503.0	1594.0	1835.0	1955.0	1933.0	2236.0	2075.0	3027.0	2811.0	2720.0	2683.0	2606.0	2762.0	2416.0	2608.0	2752.0	2642.0	2434.0	2554.0	2460.0	2239.0	2044.0	1942.0	1806.0	1428.0	1054.0	678.0
donor2_day8	1436.0	2038	1094	1037	666	792	883	833	727	628	472	371	310	321	335	338	279	283	291	294	358	420	820	849	745	352	324	245	262	301	367	389	865	852	919	521.0	861.0	889.0	863.0	747.0	363.0	373.0	410.0	444.0	545.0	624.0	1038.0	1011.0	988.0	967.0	955.0	1114.0	1140.0	1224.0	1519.0	1512.0	1493.0	1681.0	1626.0	1475.0	758.0	798.0	789.0	730.0	752.0	838.0	848.0	944.0	930.0	1130.0	1168.0	1269.0	1384.0	1505.0	1520.0	1622.0	1689.0	1607.0	1920.0	1845.0	2972.0	2888.0	2853.0	2829.0	2818.0	3001.0	2640.0	2883.0	2975.0	2848.0	2885.0	2923.0	2621.0	2557.0	2319.0	2218.0	2110.0	1647.0	1237.0	744.0
donor2_day14	1925.0	2541	1535	1355	933	937	1069	1027	908	874	636	513	538	484	457	558	557	478	513	518	649	796	1245	1178	993	553	458	409	460	500	482	553	1213	1098	1089.0	644.0	1065.0	1100.0	1062.0	1025.0	512.0	482.0	479.0	533.0	622.0	720.0	1129.0	1138.0	1164.0	1148.0	1021.0	1221.0	1311.0	1407.0	1668.0	1749.0	1795.0	2063.0	2037.0	1830.0	971.0	948.0	963.0	1019.0	1048.0	1138.0	1053.0	1199.0	1251.0	1505.0	1609.0	1667.0	1812.0	1898.0	1974.0	2050.0	1990.0	1908.0	2183.0	2151.0	2987.0	2835.0	2793.0	2780.0	2732.0	2850.0	2557.0	2803.0	2978.0	2767.0	2987.0	2995.0	2923.0	2760.0	2481.0	2218.0	2030.0	1537.0	1080.0	693.0
donor3_day0	16.0	24.0	7.0	9.0	4.0	14.0	21.0	21.0	19.0	17.0	11.0	7.0	6.0	5.0	8.0	10.0	14.0	13.0	14.0	8.0	10.0	11.0	14.0	20.0	25.0	15.0	14.0	15.0	14.0	16.0	13.0	12.0	25.0	22.0	23.0	11.0	16.0	20.0	21.0	28.0	18.0	11.0	7.0	7.0	9.0	12.0	19.0	21.0	19.0	24.0	24.0	29.0	37.0	37.0	38.0	26.0	26.0	29.0	34.0	25.0	18.0	21.0	13.0	10.0	19.0	20.0	19.0	20.0	22.0	25.0	26.0	27.0	27.0	34.0	39.0	39.0	48.0	39.0	47.0	50.0	60.0	65.0	58.0	58.0	58.0	68.0	58.0	59.0	72.0	69.0	59.0	55.0	53.0	55.0	48.0	41.0	46.0	32.0	26.0	9.0
donor3_day1	1045.0	1013	930	1238	1076	1655	1876	1825	1750	1533	1168	1010	907	875	912	880	626	732	780	786	975	1224	3547	3179	2556	1127	1096	937	922	1024	1384	1661	3741	3164	3499	2193	3942	3424	3074	2827	1091	990.0	1136.0	1419.0	1622.0	1906.0	3640.0	3176.0	3085.0	2953.0	2716.0	3341.0	3840.0	3763.0	4683.0	4428.0	4545.0	5711.0	5476.0	4783.0	1607.0	1571.0	1635.0	1778.0	2016.0	2459.0	2553.0	2977.0	3311.0	4232.0	4904.0	5456.0	5334.0	5904.0	5935.0	6043.0	5832.0	5675.0	7333.0	6700.0	8270.0	7797.0	7896.0	7783.0	7369.0	8004.0	7699.0	8475.0	9185.0	8759.0	9667.0	9789.0	9057.0	8580.0	7624.0	7007.0	5838.0	4485.0	2894.0	1777.0
donor3_day2	1595.0	2059	1243	1367	1073	1365	1536	1491	1316	1051	781	682	575	524	584	631	630	684	761	781	1030	1181	2272	2148	1817	830	713	644	707	825	979	987	2407	2245	2316	1312	2367	2229	2271	2050	1005	911	1022	1176.0	1373.0	1468.0	2450.0	2319.0	2380.0	2376.0	2107.0	2437.0	2655.0	2750	3379	3257.0	3308.0	3991.0	3837.0	3426.0	1516.0	1482.0	1542.0	1654.0	1833.0	2124.0	2147.0	2402.0	2512.0	2879.0	3106.0	3424.0	3570.0	3862.0	3912.0	4130.0	4058.0	3987.0	4944.0	4668.0	6899.0	6776.0	6853.0	6755.0	6501.0	6840.0	6065.0	6484.0	6973.0	6485.0	6597.0	6477.0	5926.0	5720.0	5275.0	4845.0	4429.0	3532.0	2545.0	1478.0
donor3_day3	1261.0	1633	836	950	734	854	984	923	829	748	508	391	360	303	327	381	369	381	399	438	521	638	1037	1063	969	484	428	331	384	422	489	510	1011	944	1050.0	596.0	1032	994.0	964.0	990.0	434.0	493.0	456.0	584.0	696.0	820.0	1182.0	1178.0	1162.0	1240.0	1302.0	1462.0	1521.0	1538.0	1898.0	1717.0	1767.0	2127.0	2035.0	1858.0	1080.0	975.0	1054.0	1075.0	1092.0	1221.0	1169.0	1302.0	1314.0	1426.0	1381.0	1433.0	1501.0	1673.0	1762.0	1931.0	1901.0	1961.0	2371.0	2318.0	3908.0	3801.0	3791.0	3780.0	3741.0	3880.0	3052.0	3333.0	3785.0	3493.0	3407.0	3421.0	3340.0	3138.0	2925.0	2747.0	2487.0	2003.0	1479.0	938.0
donor3_day4	1393.0	1687	838	1101	798	1223	1346	1319	1102	853	504	361	368	358	392	396	354	377	380	395	491	664	1020	954	890	538	489	389	436	450	579	651	1001	985	1225.0	814.0	1063.0	979.0	1032.0	897.0	516.0	479.0	508.0	656.0	736.0	848.0	1113.0	1025.0	1000.0	1042.0	1099.0	1319.0	1260.0	1232.0	1459.0	1346.0	1392.0	1607.0	1561.0	1367.0	807.0	788.0	889.0	981.0	1001.0	1134.0	1021.0	1135.0	1086.0	1211.0	1221.0	1295.0	1352.0	1507.0	1608.0	1761.0	1770.0	1643.0	1943.0	2004.0	2962.0	2975.0	2936.0	3028.0	2961.0	3131.0	2504.0	2732.0	2902.0	2545.0	2748.0	2851.0	2912.0	2788.0	2545.0	2433.0	2327.0	1766.0	1239.0	685.0
donor3_day5	2007.0	2593	1585	1759	1353	1610	1773	1709	1557	1405	1093	893	816	678	701	819	737	748	786	769	1014	1147	2081	1858	1465	851	783	678	758	701	755	814	2086	1865	1833	1285.0	2099	1999	1857	1668.0	1010.0	943.0	958.0	1081.0	1179.0	1372.0	2216.0	1955.0	1944.0	1869.0	1702.0	1870.0	2137.0	2217	2629.0	2601.0	2606.0	3095.0	3161.0	2817.0	1644.0	1598.0	1561.0	1421.0	1521.0	1743.0	1674.0	1848.0	1890.0	2099.0	2158.0	2284.0	2480.0	2598.0	2738.0	2952.0	2958.0	2775.0	3475.0	3245.0	4804.0	4705.0	4830.0	4870.0	4718.0	4847.0	4094.0	4428.0	4826.0	4368.0	4387.0	4431.0	4300.0	3960.0	3570.0	3261.0	2972.0	2393.0	1787.0	1137.0
donor3_day8	1345.0	1765	910	973	638	790	894	886	787	656	457	362	339	306	333	359	353	343	330	288	382	462	913	855	753	385	356	265	274	312	329	372	887	853	866.0	512.0	915	896	785.0	737.0	374.0	320.0	345.0	428.0	503.0	547.0	969.0	950.0	924.0	873.0	835.0	995.0	1089.0	1136.0	1253.0	1174.0	1228.0	1501.0	1459.0	1344.0	758.0	704.0	735.0	752.0	758.0	818.0	751.0	870.0	865.0	1055.0	1124.0	1155.0	1211.0	1317.0	1323.0	1417.0	1449.0	1446.0	1798.0	1708.0	2679.0	2568.0	2541.0	2579.0	2624.0	2745.0	2295.0	2544.0	2746.0	2577.0	2754.0	2777.0	2627.0	2453.0	2165.0	1986.0	1763.0	1384.0	1046.0	623.0
donor3_day14	525.0	737	426	434	310	314	362	365	334	284	237	172	163	144	137	188	190	213	198	206	226	269	458	415	301	142	126	98	107	131	159	188	466	440	418	244	421.0	402.0	422.0	381.0	201.0	185.0	180.0	203.0	212.0	247.0	441.0	409.0	411.0	395.0	383.0	459.0	487.0	552.0	660.0	710.0	740.0	826.0	816.0	732.0	396.0	357.0	352.0	316.0	317.0	380.0	366.0	409.0	429.0	513.0	526.0	576.0	583.0	625.0	666.0	759.0	728.0	695.0	903.0	845.0	1315.0	1266.0	1257.0	1272.0	1230.0	1237.0	1057.0	1174.0	1247.0	1232.0	1289.0	1263.0	1255.0	1240.0	1134.0	1004.0	972.0	727.0	483.0	216.0
