"donor1_day0" "donor1_day1" "donor1_day2" "donor1_day3" "donor1_day4" "donor1_day5" "donor1_day8" "donor1_day14" "donor2_day0" "donor2_day1" "donor2_day2" "donor2_day3" "donor2_day4" "donor2_day5" "donor2_day8" "donor2_day14" "donor3_day0" "donor3_day1" "donor3_day2" "donor3_day3" "donor3_day4" "donor3_day5" "donor3_day8" "donor3_day14"
"BHRF1" 38.984 2935.623 2104.051 1001.441 574.157 1068.125 2452.94 773.73 34 1818.1 1140.685 707.402 696.034 533.316 535.677 857.415 22.985 2921.344 1899.302 726.929 729.504 1773.73 541.382 550.452
"BILF1" 0 0 28 26.585 11 14.366 28.359 15 0 2.002 11 8 31 4 12 14 0 1 21 21 23.916 17 5 8
"BILF2" 0 27 25 31.014 9.853 11 32 3 0 20 17 11 7 3 11 0 0 22 24 18 12 27.616 4.726 2
"BKRF2" 0 1 28.686 10.054 9.078 3.308 27.981 14.227 0 3.981 7.002 9.962 15.072 2.607 12.922 5.601 0 17.29 11 12 9.089 11.687 4.994 2
"BKRF3" 0 57.623 51.021 50.952 20.256 20.109 49.827 13.009 0 33.019 39.865 37.22 13 29.363 12.521 32.373 0 26.215 24.259 33.721 49.255 31.882 24.088 24
"BKRF4" 5.005 101.377 104.293 104.02 68.74 65 154.985 48.991 3 79 78.133 103.806 43 61.029 47.767 23.026 1 80.495 75.741 36.279 30.656 81.998 38.906 43
"BLLF1" 1 98 101.009 100.32 57.026 56 269.213 68 4 141.615 70.454 60 36.806 80.948 53 44 1.119 96.603 61.033 85.022 80 117 41 57
"BLLF2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.881 10.398 0 0 0 0 0 0
"BLLF3" 0 22 18 8 16 16.01 58 17 0 35 23 25.991 25.32 14 11 3 0 28.082 16.263 18 6 7.059 13 2
"BLRF1" 0 22.914 15.975 1 4 1.016 18 1 0 6.481 0 0 6.856 0 2 2 0 0 1.083 4 8 5.004 6 2
"BLRF2" 0 41.086 22.025 16 5 9.984 35.964 3 0 20.519 6 9 10.973 8 9 7 0 30 17.884 5 6 14.996 2 10
"BMRF1" 0 39 55.952 55.999 43 35.311 76.647 21 1 54.155 32 37 47.814 17 35 10 1 39.044 56 31.171 36 22.98 22.811 29
"BMRF2" 3 125 84.217 77.001 42 44.503 101.578 18 1 96.981 44 29 42 37 33 13 0 92.956 82 66.829 52 64.02 43.189 63
"BNRF1" 1 26 91.368 93.244 61.988 44.592 254.387 63.305 1 16 58.002 53.371 53.015 52.364 42.076 33 2 5.394 58.529 71.238 59.449 119.556 52.077 86.9
"BOLF1" 0 44 73 49 18 27 199 20 0 54 36 23 52 31 37.935 29.787 0 62 27.38 34 30.101 42 32 25.331
"BORF1" 2 18 41 13 15 26 59.945 9 0 20 19.36 10.007 12.01 16 9.065 13 1 12 20 12 20 17 13 2
"BORF2" 2 184 195.472 104.172 73.691 90 200.286 66.998 2 130.56 124.878 45.993 72.074 48 45 69.075 2 197.171 156 74 93 107 54.054 28
"BPLF1" 1 138.118 185.585 119.492 99.367 87.411 586.376 88.134 2 186.638 124.124 89.485 168.96 117.216 93.6 66.437 1 215.758 113.236 67.008 89.69 159.055 77.438 68.874
"BRLF1" 1 27.998 54.999 61.493 41.039 56.8 160 27.013 0 45.36 52 41 41 40 40 36.058 2 41.815 26 47.005 32 67.891 44 35
"BRRF1" 0 26.002 77.655 50.543 31.961 32.2 52.273 7.987 1 28.64 36 17 35 18 30 17.946 1 19.185 25 37.995 26.306 18.109 14 17
"BRRF2" 1 9 84.345 72 55 59 133.727 22 1 28.012 30 48 49 22 30.276 8 1 47 50 53 68 35 35 34
"BSLF1" 0 81 87.721 78.601 31 44.487 178.749 34.022 2 95.004 38.187 33.965 51 36 21 17 0 71.808 52.181 56 42.36 76.363 29 49
"BSLF2/BMLF1" 1 46 35.437 29 18 23.513 96 12.978 0 47.008 15.546 14 34 6 1 9 1 31.66 18.819 8 12 23.747 13 22
"BSRF1" 0 42 30.841 16.399 16 27.99 54.251 5 0 41 10.813 9.044 21.045 16 6 16 2 48.45 27.737 9 26.64 47.906 17 2
"BTRF1" 5.682 40 149.557 136.916 108.05 133.744 279.295 66.874 0 126.305 115.733 58.986 124.575 76.957 69.269 55.52 1 101.678 107.168 96.124 103.023 128.734 61.607 59.956
"BVLF1" 1 6.249 15.695 21.961 16 15.336 52.156 8.419 1 10.254 12 12 21 19.604 15 20 0 0 9 10.619 16.999 21.532 2.123 0
"BVRF1" 2 29.751 52.733 27.068 28 40.656 103.182 22 1 32.746 42 27 12 31.331 18 9 0 27.665 37 25.16 19.001 57 22.019 25
