virus,donor1_day0,donor1_day1,donor1_day2,donor1_day3,donor1_day4,donor1_day5,donor1_day8,donor1_day14,donor2_day0,donor2_day1,donor2_day2,donor2_day3,donor2_day4,donor2_day5,donor2_day8,donor2_day14,donor3_day0,donor3_day1,donor3_day2,donor3_day3,donor3_day4,donor3_day5,donor3_day8,donor3_day14
NC_007605.1_Human_herpesvirus_4_complete_wild_type_genome,0.0010396235601867491,0.13103757791684106,0.10431469242195533,0.05956259082007963,0.03815306888484488,0.038792033038339044,0.04102457396533608,0.03513380077114706,8.91041372053611e-4,0.09930790929253207,0.06550663531644235,0.045037409587819,0.038398838772654924,0.0319564632019278,0.02975678220297173,0.032277173719686185,6.905651923632314e-4,0.12741393168657056,0.08186802844622801,0.04000305430807504,0.03734570014614119,0.05504304107678658,0.03241333500828485,0.013245533721281427
"NC_009334.1_Human_herpesvirus_4,_complete_genome",3.0349259210420626e-4,0.0264113732613267,0.028932843405519503,0.018648585468082433,0.011733710134735429,0.014848248032564768,0.015351398781826375,0.012875570177139152,NA,0.02363511722939069,0.016700508135900294,0.012185999890873524,0.01274747448379651,0.010484013332625887,0.009144318569572587,0.010165977764511594,NA,0.03182184716714898,0.02368903729153647,0.012086227733812842,0.009786252556950056,0.01985988861440992,0.01022016664699242,0.004303315434207747
"NC_001716.2_Human_herpesvirus_7,_complete_genome",0.004246959102700776,0.004691278801845799,0.005489436683244829,0.0020887884116808867,0.0021463777529212684,0.00262511398760975,0.009037234908470762,0.0035101842892529362,0.0017699287270971128,0.009545424296658011,0.002867420399854658,0.0028060579116140926,0.002007205223128177,0.002342748141791859,0.0038382991699287164,0.004330097431078547,0.0063503259366278555,0.008889912859394002,0.006291777166854583,0.0036519283682878547,0.003973439334212891,0.0042127523517617674,0.005359577769440252,0.003184690705347128
NC_022518.1_Human_endogenous_retrovirus_K113_complete_genome,0.0023795110678808515,0.001591940239456684,0.0020899310212108275,0.0019272652304612751,0.001661970803695895,0.0017311516709769916,0.004258701321096163,0.0019831159271960484,0.001686369860152614,0.0019285904207625491,0.0012076647266325111,0.0015660252594020883,0.0015424496513300422,0.0017028199465916084,0.0018348418955290231,0.002417307981677498,0.002104660133395895,0.0020448926350017543,0.0024306927563876816,0.0019817962287888044,0.0015544757063714336,0.0021248602094731234,0.0023055472158040637,0.0011991318116195279
"gi|12084981|lcl|HPV71REF.1|_Human_papillomavirus_71_(HPV71),_complete_genome",0.0010538295964129035,5.503200226578716e-4,NA,NA,NA,NA,7.316884351768167e-4,NA,5.636425388438017e-4,4.885176646669601e-4,4.404529618259418e-4,NA,NA,NA,NA,3.391721225387895e-4,6.897199473297391e-4,NA,5.624261061617613e-4,NA,NA,3.616441355003425e-4,NA,NA
"NC_003977.1_Hepatitis_B_virus,_complete_genome",3.551509056538584e-4,3.844264506102814e-4,NA,NA,NA,NA,1.7131579089930827e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NC_001669.1_Simian_virus_40,_complete_genome",NA,NA,5.657824311565223e-4,5.653311342686407e-4,9.393748020889841e-4,6.363655922191486e-4,2.1676024688214006e-4,NA,NA,NA,NA,4.610724167992347e-4,5.074142957796063e-4,3.5168636431445825e-4,NA,NA,NA,NA,3.9311444098503735e-4,9.068192428487201e-4,4.033089891101142e-4,3.962012417814863e-4,NA,NA
