virus	num_hit	rate_hit
NC_022518.1_Human_endogenous_retrovirus_K113_complete_genome	2182	6.654102347108047e-05
NC_007605.1_Human_herpesvirus_4_complete_wild_type_genome	68	2.0736890907577783e-06
NC_009334.1_Human_herpesvirus_4,_complete_genome	60	1.8297256683156866e-06
gi|12084981|lcl|HPV71REF.1|_Human_papillomavirus_71_(HPV71),_complete_genome	34	1.0368445453788891e-06
NC_001802.1_Human_immunodeficiency_virus_1,_complete_genome	22	6.708994117157517e-07
NC_001405.1_Human_adenovirus_C,_complete_genome	10	3.0495427805261445e-07
