virus	num_hit	rate_hit
NC_022518.1_Human_endogenous_retrovirus_K113_complete_genome	2178	7.03632371275982e-05
NC_001802.1_Human_immunodeficiency_virus_1,_complete_genome	98	3.1660226072105713e-06
NC_001405.1_Human_adenovirus_C,_complete_genome	64	2.067606600627312e-06
gi|12084981|lcl|HPV71REF.1|_Human_papillomavirus_71_(HPV71),_complete_genome	40	1.29225412539207e-06
NC_006273.2_Human_herpesvirus_5_strain_Merlin,_complete_genome	18	5.815143564264315e-07
NC_000898.1_Human_herpesvirus_6B,_complete_genome	10	3.230635313480175e-07
